"pid","filename","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
16348,"OssMMNet2002_8_16348.net","MM",2002,8,467,3.857,14.878,0.642857,0.413265122449,0.130007,0.016901820049,3.18519,2,14,196,12,0.296703,0.395604
16348,"OssMMNet2002_9_16348.net","MM",2002,9,1138,4,16,1,1,0.129556,0.016784757136,3.3,2,15,225,13,0.285714,0.428571
16348,"OssMMNet2002_10_16348.net","MM",2002,10,620,5.2,27.04,1.06667,1.1377848889,0.158742,0.025199022564,3.23077,2,15,225,14,0.371429,0.52381
16348,"OssMMNet2002_11_16348.net","MM",2002,11,624,4,16,1,1,0.129556,0.016784757136,3.13333,2,15,225,15,0.285714,0.428571
16348,"OssMMNet2002_12_16348.net","MM",2002,12,937,3.6,12.96,0.6,0.36,0.110687,0.012251611969,3.62963,2,15,225,16,0.257143,0.342857
16348,"OssMMNet2003_1_16348.net","MM",2003,1,1082,3.467,12.018,0.666667,0.444444888889,0.110508,0.012212018064,3.69231,2,15,225,17,0.247619,0.342857
16348,"OssMMNet2003_2_16348.net","MM",2003,2,644,3.2,10.24,0.8,0.64,0.110145,0.012131921025,3.54167,2,15,225,18,0.228571,0.342857
16348,"OssMMNet2003_3_16348.net","MM",2003,3,446,3.429,11.755,1.57143,2.4693922449,0.154417,0.023844609889,3.375,3,14,196,19,0.263736,0.494505
16348,"OssMMNet2003_4_16348.net","MM",2003,4,635,5,25,0.714286,0.510204489796,0.159134,0.025323629956,3.28571,2,14,196,20,0.384615,0.494505
16348,"OssMMNet2003_5_16348.net","MM",2003,5,747,5.333,28.444,1.73333,3.0044328889,0.199339,0.039736036921,2.975,2,15,225,21,0.380952,0.628571
16348,"OssMMNet2003_6_16348.net","MM",2003,6,790,5.857,34.306,1,1,0.202917,0.041175308889,3.09756,2,14,196,22,0.450549,0.604396
16348,"OssMMNet2003_7_16348.net","MM",2003,7,1232,4.133,17.084,1.6,2.56,0.156027,0.024344424729,3.41935,2,15,225,23,0.295238,0.52381
16348,"OssMMNet2003_8_16348.net","MM",2003,8,381,3.857,14.878,1.28571,1.6530502041,0.15594,0.0243172836,3,2,14,196,24,0.296703,0.494505
16348,"OssMMNet2003_9_16348.net","MM",2003,9,584,3.857,14.878,1.28571,1.6530502041,0.15594,0.0243172836,2.66667,2,14,196,25,0.296703,0.494505
16348,"OssMMNet2003_10_16348.net","MM",2003,10,1557,3.091,9.554,1,1,0.195235,0.038116705225,3.05882,2,11,121,26,0.309091,0.509091
16348,"OssMMNet2003_11_16348.net","MM",2003,11,1629,2.182,4.76,0.272727,0.074380016529,0.130765,0.017099485225,3.08333,2,11,121,27,0.218182,0.272727
16348,"OssMMNet2003_12_16348.net","MM",2003,12,1379,1.4,1.96,0.3,0.09,0.131537,0.017301982369,3,2,10,100,28,0.155556,0.222222
16375,"OssMMNet2004_4_16375.net","MM",2004,4,37,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,2,2,3,9,1,0.666667,1
16375,"OssMMNet2004_5_16375.net","MM",2004,5,75,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,2,2,3,9,2,0.666667,1
16375,"OssMMNet2004_6_16375.net","MM",2004,6,298,2,4,0,0,1,1,2.33333,1,3,9,3,1,1
16375,"OssMMNet2004_7_16375.net","MM",2004,7,523,2,4,0,0,1,1,2.33333,1,3,9,4,1,1
16375,"OssMMNet2004_8_16375.net","MM",2004,8,700,1,1,0.5,0.25,0.25817,0.0666517489,2.33333,2,6,36,5,0.2,0.4
16375,"OssMMNet2004_12_16375.net","MM",2004,12,281,0.857,0.735,0,0,0.167347,0.028005018409,2,1,7,49,6,0.142857,0.142857
16375,"OssMMNet2005_5_16375.net","MM",2005,5,242,1,1,0,0,0.208333,0.043402638889,2,1,6,36,7,0.2,0.2
16375,"OssMMNet2005_7_16375.net","MM",2005,7,200,0.8,0.64,0.2,0.04,0.269744,0.072761825536,2,2,5,25,8,0.2,0.3
16375,"OssMMNet2005_8_16375.net","MM",2005,8,335,4,16,0.5,0.25,0.854167,0.729601263889,2.66667,2,6,36,9,0.8,1
16375,"OssMMNet2005_9_16375.net","MM",2005,9,111,1.333,1.778,0.333333,0.111110888889,0.264297,0.069852904209,3,2,6,36,10,0.266667,0.4
16707,"OssMMNet2003_4_16707.net","MM",2003,4,58,2,4,0.875,0.765625,0.257047,0.066073160209,2,2,8,64,1,0.285714,0.535714
16707,"OssMMNet2003_5_16707.net","MM",2003,5,165,1.778,3.16,0.777778,0.604938617284,0.192629,0.037105931641,2.125,2,9,81,2,0.222222,0.416667
16707,"OssMMNet2003_6_16707.net","MM",2003,6,587,2.4,5.76,0.3,0.09,0.157446,0.024789242916,2.16667,2,10,100,3,0.266667,0.333333
16707,"OssMMNet2003_7_16707.net","MM",2003,7,756,2.667,7.111,0.333333,0.111110888889,0.198797,0.039520247209,2.41667,2,9,81,4,0.333333,0.416667
16707,"OssMMNet2003_8_16707.net","MM",2003,8,244,5,25,0.125,0.015625,0.444792,0.197839923264,2.7,2,8,64,5,0.714286,0.75
16707,"OssMMNet2003_9_16707.net","MM",2003,9,109,4.286,18.367,0,0,0.44898,0.2015830404,2.33333,1,7,49,6,0.714286,0.714286
16707,"OssMMNet2003_10_16707.net","MM",2003,10,215,4.286,18.367,0,0,0.44898,0.2015830404,2.33333,1,7,49,7,0.714286,0.714286
16707,"OssMMNet2003_11_16707.net","MM",2003,11,227,4.286,18.367,0,0,0.44898,0.2015830404,2.4,1,7,49,8,0.714286,0.714286
16707,"OssMMNet2003_12_16707.net","MM",2003,12,271,3.75,14.062,0,0,0.28125,0.0791015625,3.13333,1,8,64,9,0.535714,0.535714
16707,"OssMMNet2004_1_16707.net","MM",2004,1,146,3.75,14.062,0,0,0.28125,0.0791015625,2.2,1,8,64,10,0.535714,0.535714
16707,"OssMMNet2004_2_16707.net","MM",2004,2,123,3.75,14.062,0,0,0.28125,0.0791015625,2.2,1,8,64,11,0.535714,0.535714
16707,"OssMMNet2004_3_16707.net","MM",2004,3,87,3.75,14.062,0,0,0.28125,0.0791015625,2.2,1,8,64,12,0.535714,0.535714
16707,"OssMMNet2004_4_16707.net","MM",2004,4,224,4.222,17.827,0.222222,0.049382617284,0.278139,0.077361303321,2.42105,2,9,81,13,0.527778,0.583333
16707,"OssMMNet2004_5_16707.net","MM",2004,5,208,3.75,14.062,0,0,0.28125,0.0791015625,2.13333,1,8,64,14,0.535714,0.535714
16707,"OssMMNet2004_6_16707.net","MM",2004,6,111,4.75,22.562,0.25,0.0625,0.436979,0.190950646441,2.52632,2,8,64,15,0.678571,0.75
16707,"OssMMNet2004_7_16707.net","MM",2004,7,149,3.778,14.272,0.444444,0.197530469136,0.272656,0.074341294336,2.64706,2,9,81,16,0.472222,0.583333
16707,"OssMMNet2004_8_16707.net","MM",2004,8,30,3.778,14.272,0.444444,0.197530469136,0.272656,0.074341294336,2.76471,2,9,81,17,0.472222,0.583333
16707,"OssMMNet2004_9_16707.net","MM",2004,9,73,3.778,14.272,0.444444,0.197530469136,0.272656,0.074341294336,2.64706,2,9,81,18,0.472222,0.583333
16707,"OssMMNet2004_10_16707.net","MM",2004,10,504,2.364,5.587,0.181818,0.033057785124,0.131246,0.017225512516,2.61538,2,11,121,19,0.236364,0.272727
16707,"OssMMNet2004_11_16707.net","MM",2004,11,78,1.778,3.16,0.222222,0.049382617284,0.158352,0.025075355904,2.5,2,9,81,20,0.222222,0.277778
16707,"OssMMNet2004_12_16707.net","MM",2004,12,537,1.818,3.306,0.454545,0.206611157025,0.12981,0.0168506361,2.6,2,11,121,21,0.181818,0.272727
16707,"OssMMNet2005_1_16707.net","MM",2005,1,77,1.455,2.116,0.181818,0.033057785124,0.113795,0.012949302025,2.25,2,11,121,22,0.145455,0.181818
16707,"OssMMNet2005_2_16707.net","MM",2005,2,120,0.6,0.36,0.3,0.09,0.115824,0.013415198976,2,2,10,100,23,0.0666667,0.133333
16707,"OssMMNet2005_3_16707.net","MM",2005,3,162,0.4,0.16,0.1,0.01,0.107158,0.011482836964,2,2,10,100,24,0.0444444,0.0666667
18259,"OssMMNet2003_9_18259.net","MM",2003,9,249,0.571,0.327,0,0,0.156463,0.024480670369,2,1,7,49,1,0.0952381,0.0952381
18259,"OssMMNet2004_4_18259.net","MM",2004,4,1127,1.143,1.306,0.285714,0.081632489796,0.198477,0.039393119529,2,2,7,49,2,0.190476,0.285714
18259,"OssMMNet2005_2_18259.net","MM",2005,2,700,0.545,0.298,0.272727,0.074380016529,0.102474,0.010500920676,2,2,11,121,3,0.0545455,0.109091
18259,"OssMMNet2005_3_18259.net","MM",2005,3,1816,1.067,1.138,0.133333,0.017777688889,0.0745916,0.00556390679056,3,2,15,225,4,0.0761905,0.0952381
18259,"OssMMNet2005_4_18259.net","MM",2005,4,521,1.077,1.16,0.615385,0.378698698225,0.0975642,0.00951877312164,2.42857,2,13,169,5,0.0897436,0.192308
18259,"OssMMNet2005_5_18259.net","MM",2005,5,1725,1.667,2.778,0,0,0.100694,0.010139281636,2.7,1,12,144,6,0.151515,0.151515
18259,"OssMMNet2005_6_18259.net","MM",2005,6,1349,2.6,6.76,0.2,0.04,0.158279,0.025052241841,2.46154,2,10,100,7,0.288889,0.333333
18259,"OssMMNet2005_7_18259.net","MM",2005,7,276,4,16,0.625,0.390625,0.415278,0.172455817284,2.5625,2,8,64,8,0.571429,0.75
18259,"OssMMNet2005_8_18259.net","MM",2005,8,1124,4.444,19.753,0.111111,0.012345654321,0.280988,0.078954256144,3.75,2,9,81,9,0.555556,0.583333
18259,"OssMMNet2005_9_18259.net","MM",2005,9,513,4.286,18.367,0,0,0.44898,0.2015830404,3.06667,1,7,49,10,0.714286,0.714286
18259,"OssMMNet2005_10_18259.net","MM",2005,10,582,4.857,23.592,0.571429,0.326531102041,0.860544,0.740535975936,2.17647,2,7,49,11,0.809524,1
18304,"OssMMNet2002_1_18304.net","MM",2002,1,816,2.571,6.612,0.142857,0.020408122449,0.273899,0.075020662201,2.33333,2,7,49,1,0.428571,0.47619
18304,"OssMMNet2002_2_18304.net","MM",2002,2,563,1.75,3.062,0.375,0.140625,0.196868,0.038757009424,2.85714,2,8,64,2,0.25,0.357143
18304,"OssMMNet2002_3_18304.net","MM",2002,3,958,2.222,4.938,0,0,0.160494,0.025758324036,2.4,1,9,81,3,0.277778,0.277778
18304,"OssMMNet2002_4_18304.net","MM",2002,4,1359,1.556,2.42,0.333333,0.111110888889,0.157317,0.024748638489,2.57143,2,9,81,4,0.194444,0.277778
18304,"OssMMNet2002_5_18304.net","MM",2002,5,691,1.8,3.24,0.6,0.36,0.15498,0.0240188004,2.22222,2,10,100,5,0.2,0.333333
18304,"OssMMNet2002_6_18304.net","MM",2002,6,324,1.714,2.939,0,0,0.204082,0.041649462724,2.83333,1,7,49,6,0.285714,0.285714
18304,"OssMMNet2002_7_18304.net","MM",2002,7,228,1.714,2.939,0,0,0.204082,0.041649462724,2.83333,1,7,49,7,0.285714,0.285714
18304,"OssMMNet2002_8_18304.net","MM",2002,8,91,1.429,2.041,0.142857,0.020408122449,0.201224,0.040491098176,2.6,2,7,49,8,0.238095,0.285714
18304,"OssMMNet2002_9_18304.net","MM",2002,9,271,0.857,0.735,0,0,0.167347,0.028005018409,2.66667,1,7,49,9,0.142857,0.142857
18304,"OssMMNet2002_10_18304.net","MM",2002,10,458,0.857,0.735,0,0,0.167347,0.028005018409,3,1,7,49,10,0.142857,0.142857
18304,"OssMMNet2002_11_18304.net","MM",2002,11,450,0.857,0.735,0,0,0.167347,0.028005018409,2.66667,1,7,49,11,0.142857,0.142857
18304,"OssMMNet2002_12_18304.net","MM",2002,12,139,0.857,0.735,0,0,0.167347,0.028005018409,2.66667,1,7,49,12,0.142857,0.142857
18304,"OssMMNet2003_1_18304.net","MM",2003,1,554,0.857,0.735,0,0,0.167347,0.028005018409,2.66667,1,7,49,13,0.142857,0.142857
18304,"OssMMNet2003_2_18304.net","MM",2003,2,422,1.5,2.25,0,0,0.1625,0.02640625,2.5,1,8,64,14,0.214286,0.214286
18508,"OssMMNet2003_3_18508.net","MM",2003,3,310,1.333,1.778,0,0,0.135802,0.018442183204,2.5,1,9,81,1,0.166667,0.166667
18508,"OssMMNet2003_4_18508.net","MM",2003,4,402,1.538,2.367,0,0,0.0900723,0.00811301922729,2.1,1,13,169,2,0.128205,0.128205
18508,"OssMMNet2003_5_18508.net","MM",2003,5,130,1.667,2.778,0,0,0.100694,0.010139281636,2,1,12,144,3,0.151515,0.151515
18508,"OssMMNet2003_6_18508.net","MM",2003,6,215,0.933,0.871,0.2,0.04,0.0745144,0.00555239580736,2,2,15,225,4,0.0666667,0.0952381
18508,"OssMMNet2003_7_18508.net","MM",2003,7,53,0.923,0.852,0,0,0.0840237,0.00705998216169,2,1,13,169,5,0.0769231,0.0769231
18508,"OssMMNet2003_8_18508.net","MM",2003,8,95,1.091,1.19,0,0,0.103306,0.010672129636,2.16667,1,11,121,6,0.109091,0.109091
18508,"OssMMNet2003_9_18508.net","MM",2003,9,66,1.091,1.19,0,0,0.103306,0.010672129636,2.16667,1,11,121,7,0.109091,0.109091
18508,"OssMMNet2003_10_18508.net","MM",2003,10,123,3.385,11.456,0.461538,0.213017325444,0.130085,0.016922107225,2.13636,2,13,169,8,0.282051,0.358974
18508,"OssMMNet2003_11_18508.net","MM",2003,11,355,3.333,11.111,0.733333,0.537777288889,0.110323,0.012171164329,2.12,2,15,225,9,0.238095,0.342857
18508,"OssMMNet2003_12_18508.net","MM",2003,12,615,3.286,10.796,0.357143,0.127551122449,0.111155,0.012355434025,2.30435,2,14,196,10,0.252747,0.307692
18508,"OssMMNet2004_1_18508.net","MM",2004,1,263,3,9,0.5,0.25,0.110727,0.012260468529,2.33333,2,14,196,11,0.230769,0.307692
