"pid","filename","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
8731,"OssPPNet2005_9_8731.net","PP",2005,9,258,4,16,0,0,1,1,1,1,5,25,9,1,1
9523,"OssPPNet2002_12_9523.net","PP",2002,12,1063,2,4,0,0,1,1,8.33333,1,3,9,12,1,1
9523,"OssPPNet2003_1_9523.net","PP",2003,1,1901,3.333,11.111,0,0,0.444444,0.197530469136,3.2,1,6,36,1,0.666667,0.666667
9523,"OssPPNet2003_2_9523.net","PP",2003,2,1232,5.143,26.449,0.428571,0.183673102041,0.891156,0.794159016336,2.5,2,7,49,2,0.857143,1
9523,"OssPPNet2003_3_9523.net","PP",2003,3,899,4,16,0,0,1,1,1.7,1,5,25,3,1,1
9523,"OssPPNet2003_5_9523.net","PP",2003,5,597,2,4,0,0,1,1,8,1,3,9,5,1,1
9523,"OssPPNet2003_6_9523.net","PP",2003,6,557,3,9,0,0,1,1,3.83333,1,4,16,6,1,1
9523,"OssPPNet2003_7_9523.net","PP",2003,7,1209,3,9,0,0,1,1,3.66667,1,4,16,7,1,1
9523,"OssPPNet2003_8_9523.net","PP",2003,8,858,3,9,0,0,1,1,3.33333,1,4,16,8,1,1
9523,"OssPPNet2003_9_9523.net","PP",2003,9,405,2,4,0,0,1,1,2,1,3,9,9,1,1
10189,"OssPPNet2004_5_10189.net","PP",2004,5,18,2,4,0,0,1,1,1,1,3,9,5,1,1
10189,"OssPPNet2004_6_10189.net","PP",2004,6,51,2,4,0,0,1,1,1,1,3,9,6,1,1
10189,"OssPPNet2004_7_10189.net","PP",2004,7,66,2,4,0,0,1,1,1.33333,1,3,9,7,1,1
10189,"OssPPNet2004_8_10189.net","PP",2004,8,7,2,4,0,0,1,1,1.33333,1,3,9,8,1,1
10189,"OssPPNet2004_11_10189.net","PP",2004,11,208,2,4,0,0,1,1,2,1,3,9,11,1,1
10189,"OssPPNet2004_12_10189.net","PP",2004,12,1141,2.4,5.76,0,0,0.44,0.1936,4.16667,1,5,25,12,0.6,0.6
10189,"OssPPNet2005_2_10189.net","PP",2005,2,524,2,4,0,0,1,1,4,1,3,9,2,1,1
10189,"OssPPNet2005_3_10189.net","PP",2005,3,674,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,5,2,3,9,3,0.666667,1
10189,"OssPPNet2005_4_10189.net","PP",2005,4,975,2.4,5.76,0.8,0.64,0.740952,0.549009866304,2.33333,2,5,25,4,0.6,1
10189,"OssPPNet2005_5_10189.net","PP",2005,5,512,3,9,0,0,1,1,4.66667,1,4,16,5,1,1
10189,"OssPPNet2005_6_10189.net","PP",2005,6,230,3,9,0,0,1,1,4.83333,1,4,16,6,1,1
10189,"OssPPNet2005_7_10189.net","PP",2005,7,651,2.5,6.25,0.25,0.0625,0.875,0.765625,3.4,2,4,16,7,0.833333,1
10189,"OssPPNet2005_8_10189.net","PP",2005,8,1450,2,4,0,0,1,1,5.66667,1,3,9,8,1,1
10397,"OssPPNet2001_3_10397.net","PP",2001,3,144,3,9,0,0,1,1,1,1,4,16,3,1,1
10397,"OssPPNet2001_4_10397.net","PP",2001,4,24,2,4,0,0,1,1,1,1,3,9,4,1,1
10397,"OssPPNet2001_5_10397.net","PP",2001,5,3,2,4,0,0,1,1,1,1,3,9,5,1,1
10397,"OssPPNet2001_6_10397.net","PP",2001,6,47,1.5,2.25,0,0,0.4375,0.19140625,1,1,4,16,6,0.5,0.5
10397,"OssPPNet2001_7_10397.net","PP",2001,7,119,2.4,5.76,0,0,0.44,0.1936,1,1,5,25,7,0.6,0.6
10397,"OssPPNet2001_8_10397.net","PP",2001,8,15,2.4,5.76,0,0,0.44,0.1936,1,1,5,25,8,0.6,0.6
10397,"OssPPNet2001_9_10397.net","PP",2001,9,45,2.4,5.76,0,0,0.44,0.1936,1,1,5,25,9,0.6,0.6
10397,"OssPPNet2001_10_10397.net","PP",2001,10,44,2.4,5.76,0,0,0.44,0.1936,1,1,5,25,10,0.6,0.6
10397,"OssPPNet2001_11_10397.net","PP",2001,11,164,2.4,5.76,0,0,0.44,0.1936,1,1,5,25,11,0.6,0.6
10397,"OssPPNet2001_12_10397.net","PP",2001,12,25,1.5,2.25,0,0,0.4375,0.19140625,1,1,4,16,12,0.5,0.5
10397,"OssPPNet2002_1_10397.net","PP",2002,1,37,2.4,5.76,0,0,0.44,0.1936,1,1,5,25,1,0.6,0.6
10397,"OssPPNet2002_2_10397.net","PP",2002,2,727,3,9,0,0,1,1,1,1,4,16,2,1,1
