"pid","filename.x","type.x","year","month","commits.x","mdegree.x","mdegree2.x","mbetween.x","mbetween2.x","mclose.x","mclose2.x","mweight.x","diameter.x","networksize.x","networksize2.x","age.x","density.x","connect.x","filename.y","type.y","commits.y","mdegree.y","mdegree2.y","mbetween.y","mbetween2.y","mclose.y","mclose2.y","mweight.y","diameter.y","networksize.y","networksize2.y","age.y","density.y","connect.y"
10415,"OssMMNet2004_10_10415.net","MM",2004,10,112,0.8,0.64,0,0,0.0711111,0.00505678854321,2,1,15,225,3,0.0571429,0.0571429,"OssPPNet2004_10_10415.net","PP",112,1.5,2.25,1,1,0.625,0.390625,2,3,4,16,10,0.5,1
10415,"OssMMNet2004_11_10415.net","MM",2004,11,207,0.8,0.64,0,0,0.0711111,0.00505678854321,2,1,15,225,4,0.0571429,0.0571429,"OssPPNet2004_11_10415.net","PP",207,1,1,0.25,0.0625,0.401786,0.161431989796,2.5,2,4,16,11,0.333333,0.5
10415,"OssMMNet2004_12_10415.net","MM",2004,12,216,2.143,4.592,0,0,0.0884354,0.00782081997316,2,1,14,196,5,0.164835,0.164835,"OssPPNet2004_12_10415.net","PP",216,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,3.5,2,3,9,12,0.666667,1
10415,"OssMMNet2005_6_10415.net","MM",2005,6,1200,9,81,0,0,1,1,2.8,1,10,100,11,1,1,"OssPPNet2005_6_10415.net","PP",1200,2,4,0,0,1,1,9.33333,1,3,9,6,1,1
10415,"OssMMNet2005_7_10415.net","MM",2005,7,467,2.533,6.418,0.133333,0.017777688889,0.087175,0.007599480625,2.31579,2,15,225,12,0.180952,0.2,"OssPPNet2005_7_10415.net","PP",467,3,9,0,0,1,1,3,1,4,16,7,1,1
10415,"OssMMNet2005_8_10415.net","MM",2005,8,429,2.545,6.479,0.0909091,0.00826446446281,0.131735,0.017354110225,2.42857,2,11,121,13,0.254545,0.272727,"OssPPNet2005_8_10415.net","PP",429,3,9,0,0,1,1,2.83333,1,4,16,8,1,1
10415,"OssMMNet2005_9_10415.net","MM",2005,9,556,1.2,1.44,0,0,0.117143,0.013722482449,3,1,10,100,14,0.133333,0.133333,"OssPPNet2005_9_10415.net","PP",556,1.6,2.56,0,0,0.3,0.09,3.25,1,5,25,9,0.4,0.4
10683,"OssMMNet2004_11_10683.net","MM",2004,11,790,0.769,0.592,0.0769231,0.00591716331361,0.0838965,0.00703862271225,2.2,2,13,169,1,0.0641026,0.0769231,"OssPPNet2004_11_10683.net","PP",790,3,9,0,0,1,1,1.83333,1,4,16,11,1,1
10683,"OssMMNet2004_12_10683.net","MM",2004,12,126,1,1,0,0,0.208333,0.043402638889,2.33333,1,6,36,2,0.2,0.2,"OssPPNet2004_12_10683.net","PP",126,3,9,0,0,1,1,1.66667,1,4,16,12,1,1
10683,"OssMMNet2005_1_10683.net","MM",2005,1,256,0.571,0.327,0.142857,0.020408122449,0.165504,0.027391574016,2,2,7,49,3,0.0952381,0.142857,"OssPPNet2005_1_10683.net","PP",256,2.8,7.84,0.6,0.36,0.794286,0.630890249796,1.28571,2,5,25,1,0.7,1
