"pid","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
26009,"MM",2004,10,90,0.0840237,0.00705998216169,0,0,0.0840237,0.00705998216169,2.66667,1,13,169,10,0.0769231,0.0769231
26009,"MM",2004,11,49,0.0899155,0.00808479714025,0.0769231,0.00591716331361,0.0899155,0.00808479714025,2.33333,2,13,169,11,0.115385,0.128205
26009,"MM",2004,12,50,0.0899155,0.00808479714025,0.0769231,0.00591716331361,0.0899155,0.00808479714025,2.33333,2,13,169,12,0.115385,0.128205
26009,"MM",2005,1,204,0.0925926,0.00857338957476,0,0,0.0925926,0.00857338957476,2.5,1,12,144,1,0.0909091,0.0909091
26009,"MM",2005,2,55,0.0900723,0.00811301922729,0,0,0.0900723,0.00811301922729,2.6,1,13,169,2,0.128205,0.128205
26009,"MM",2005,3,54,0.0964187,0.00929656570969,0,0,0.0964187,0.00929656570969,3,1,11,121,3,0.0545455,0.0545455
26009,"MM",2005,4,96,0.0964187,0.00929656570969,0,0,0.0964187,0.00929656570969,3,1,11,121,4,0.0545455,0.0545455
26009,"MM",2005,5,151,0.10046,0.0100922116,0.0833333,0.00694443888889,0.10046,0.0100922116,2.44444,2,12,144,5,0.136364,0.151515
26009,"MM",2005,6,56,0.114156,0.013031592336,0.0909091,0.00826446446281,0.114156,0.013031592336,2.44444,2,11,121,6,0.163636,0.181818
26009,"MM",2005,7,305,0.0925926,0.00857338957476,0,0,0.0925926,0.00857338957476,2.66667,1,12,144,7,0.0909091,0.0909091
26009,"MM",2005,8,170,0.0964187,0.00929656570969,0,0,0.0964187,0.00929656570969,3,1,11,121,8,0.0545455,0.0545455
26009,"MM",2005,9,63,0.1075,0.01155625,0,0,0.1075,0.01155625,2.33333,1,10,100,9,0.0666667,0.0666667
26009,"MM",2005,10,47,0.121693,0.014809186249,0,0,0.121693,0.014809186249,2.66667,1,9,81,10,0.0833333,0.0833333
26079,"MM",2002,9,606,1,1,0,0,1,1,2.33333,1,3,9,9,1,1
26079,"MM",2002,10,547,0.777778,0.604938617284,0.333333,0.111110888889,0.777778,0.604938617284,2.5,2,3,9,10,0.666667,1
26079,"MM",2002,11,615,0.777778,0.604938617284,0.333333,0.111110888889,0.777778,0.604938617284,2.5,2,3,9,11,0.666667,1
26079,"MM",2002,12,698,0.777778,0.604938617284,0.333333,0.111110888889,0.777778,0.604938617284,2.5,2,3,9,12,0.666667,1
26079,"MM",2003,6,77,0.401786,0.161431989796,0.25,0.0625,0.401786,0.161431989796,2,2,4,16,6,0.333333,0.5
26079,"MM",2003,8,862,0.401786,0.161431989796,0.25,0.0625,0.401786,0.161431989796,2.5,2,4,16,8,0.333333,0.5
26079,"MM",2003,12,213,0.4375,0.19140625,0,0,0.4375,0.19140625,2.33333,1,4,16,12,0.5,0.5
26079,"MM",2004,3,442,0.4375,0.19140625,0,0,0.4375,0.19140625,2,1,4,16,3,0.5,0.5
26557,"MM",2004,2,21,0.070915,0.005028937225,0.2,0.04,0.070915,0.005028937225,2,2,15,225,2,0.0285714,0.0571429
26557,"MM",2004,6,56,0.0641741,0.00411831511081,0,0,0.0641741,0.00411831511081,2,1,16,256,6,0.025,0.025
26557,"MM",2004,7,26,0.0602076,0.00362495509776,0,0,0.0602076,0.00362495509776,2,1,17,289,7,0.0220588,0.0220588
26557,"MM",2004,8,141,0.0688387,0.00473876661769,0.1875,0.03515625,0.0688387,0.00473876661769,2.14286,2,16,256,8,0.0583333,0.0833333
26557,"MM",2005,6,792,0.0942149,0.00887644738201,0,0,0.0942149,0.00887644738201,2,1,11,121,6,0.0363636,0.0363636
26557,"MM",2005,7,209,0.0942149,0.00887644738201,0,0,0.0942149,0.00887644738201,2,1,11,121,7,0.0363636,0.0363636
26557,"MM",2005,8,249,0.0886125,0.00785217515625,0.0833333,0.00694443888889,0.0886125,0.00785217515625,2,2,12,144,8,0.0454545,0.0606061
26557,"MM",2005,9,166,0.0979448,0.00959318384704,0.461538,0.213017325444,0.0979448,0.00959318384704,2.11111,2,13,169,9,0.115385,0.192308
26643,"MM",2002,8,421,0.204082,0.041649462724,0,0,0.204082,0.041649462724,2,1,7,49,8,0.285714,0.285714
